Linux 6.8.0-87-generic (jschoi) 	09/16/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:39 PM  1000     43898   16.00    2.00    0.00    0.00   18.00     2   1701.00      0.00 2636532  338920   1.04  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:40 PM  1000     43898   15.00    2.00    0.00    0.00   17.00    10   1808.00      0.00 2636632  339368   1.04  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:41 PM  1000     43898   14.00    2.00    0.00    0.00   16.00     2   1928.00      0.00 2636748  340176   1.04  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:42 PM  1000     43898   24.00    0.00    0.00    0.00   24.00    12   2772.00      0.00 2636872  344472   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:43 PM  1000     43898   17.00    2.00    0.00    0.00   19.00    10   2255.00      0.00 2636996  346256   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:44 PM  1000     43898   21.00    2.00    0.00    0.00   23.00    14   2016.00      0.00 2637124  347060   1.06  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:45 PM  1000     43898   17.00    3.00    0.00    0.00   20.00    14   2217.00      0.00 2637252  348740   1.07  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:46 PM  1000     43898   15.00    2.00    0.00    0.00   17.00    12   2346.00      0.00 2637380  350532   1.08  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:47 PM  1000     43898   17.00    2.00    0.00    0.00   19.00     0   4023.00      0.00 2645180  351568   1.08  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:48 PM  1000     43898   19.00    2.00    0.00    0.00   21.00     2   2228.00      0.00 2645652  352968   1.08  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:49 PM  1000     43898   20.00    2.00    0.00    0.00   22.00    14   2640.00      0.00 2645784  355536   1.09  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:50 PM  1000     43898   19.00    2.00    0.00    0.00   21.00     2   2106.00      0.00 2645924  356004   1.09  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:51 PM  1000     43898   17.00    1.00    0.00    0.00   18.00     2   2110.00      0.00 2646052  356736   1.09  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:52 PM  1000     43898   16.00    3.00    0.00    0.00   19.00    14   2506.00      0.00 2646176  358520   1.10  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:53 PM  1000     43898   19.00    1.00    0.00    0.00   20.00     2   2972.00      0.00 2647256  361840   1.11  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:54 PM  1000     43898   15.00    3.00    0.00    0.00   18.00    14   2315.00      0.00 2647380  362716   1.11  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:55 PM  1000     43898   15.00    2.00    0.00    0.00   17.00    14   2473.00      0.00 2647504  363952   1.12  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:56 PM  1000     43898   18.00    2.00    0.00    0.00   20.00     6   2349.00      0.00 2647620  364700   1.12  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:57 PM  1000     43898   17.00    2.00    0.00    0.00   19.00     4   2610.00      0.00 2647736  366432   1.12  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:00:58 PM  1000     43898   12.00    2.00    0.00    0.00   14.00     4   2287.00      0.00 2647840  366644   1.12  fastlio_mapping

