Linux 6.8.0-87-generic (jschoi) 	09/17/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:56 PM  1000   1441388   17.00    1.00    0.00    0.00   18.00     8   1244.00      0.00 2691112  257448   0.79  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:57 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00     6   1348.00      0.00 2691188  259788   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:58 PM  1000   1441388   17.00    2.00    0.00    0.00   19.00     6    967.00      0.00 2691256  260508   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:11:59 PM  1000   1441388   17.00    2.00    0.00    0.00   19.00     6    852.00      0.00 2691320  260712   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:00 PM  1000   1441388   18.00    1.00    0.00    0.00   19.00    12    957.00      0.00 2691384  261224   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:01 PM  1000   1441388   16.00    3.00    0.00    0.00   19.00     0   1031.00      0.00 2691444  261908   0.80  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:02 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00     0   1198.00      0.00 2691500  262940   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:03 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00     4   1024.00      0.00 2691556  263544   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:04 PM  1000   1441388   16.00    1.00    0.00    0.00   17.00     4    985.00      0.00 2691612  264004   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:05 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00     0   1081.00      0.00 2691664  264572   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:06 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00     2   1152.00      0.00 2691712  265716   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:07 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00     6   1053.00      0.00 2691764  266152   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:08 PM  1000   1441388   16.00    2.00    0.00    0.00   18.00     4   1097.00      0.00 2691808  266816   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:09 PM  1000   1441388   16.00    2.00    0.00    0.00   18.00    10   1032.00      0.00 2691856  267104   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:10 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     4   1057.00      0.00 2691904  267652   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:11 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00     4   1122.00      0.00 2691948  268212   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:12 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00    12   1104.00      0.00 2691996  268496   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:13 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00     2   1255.00      0.00 2692040  269624   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:14 PM  1000   1441388   15.00    1.00    0.00    0.00   16.00     2   1102.00      0.00 2692084  269808   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:15 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     2   1801.00      0.00 2696124  273064   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:16 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     6   1057.00      0.00 2696168  273152   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:17 PM  1000   1441388   15.00    1.00    0.00    0.00   16.00     2   1138.00      0.00 2696212  273608   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:18 PM  1000   1441388   17.00    2.00    0.00    0.00   19.00     4   1238.00      0.00 2696252  274072   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:19 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00     2   1108.00      0.00 2696292  274532   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:20 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     2   1120.00      0.00 2696332  274956   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:21 PM  1000   1441388   15.00    2.00    0.00    0.00   17.00     6   1166.00      0.00 2696372  275036   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:22 PM  1000   1441388   13.00    3.00    0.00    0.00   16.00    12   1108.00      0.00 2696404  275200   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:23 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00    14   1227.00      0.00 2696440  275664   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:24 PM  1000   1441388   13.00    1.00    0.00    0.00   14.00     2   1176.00      0.00 2696480  275912   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:25 PM  1000   1441388    8.00    3.00    0.00    0.00   11.00     8   1302.00      0.00 2696516  276560   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:26 PM  1000   1441388   12.00    2.00    0.00    0.00   14.00    10   1196.00      0.00 2696552  276824   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:27 PM  1000   1441388   12.00    3.00    0.00    0.00   15.00    12   1213.00      0.00 2696592  277168   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:28 PM  1000   1441388   13.00    1.00    0.00    0.00   14.00     0   1171.00      0.00 2696632  277248   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:29 PM  1000   1441388    9.00    2.00    0.00    0.00   11.00    12   1254.00      0.00 2696668  277584   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:30 PM  1000   1441388   11.00    3.00    0.00    0.00   14.00     0   1246.00      0.00 2696708  278028   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:31 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00    12   1215.00      0.00 2696748  278112   0.85  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:32 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     2   1405.00      0.00 2696784  278952   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:33 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     2   1302.00      0.00 2696824  279284   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:34 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00     8   1317.00      0.00 2696864  279724   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:35 PM  1000   1441388   16.00    2.00    0.00    0.00   18.00    14   1239.00      0.00 2696904  279804   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:36 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00    14   1406.00      0.00 2696940  280600   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:37 PM  1000   1441388   11.00    1.00    0.00    0.00   12.00     6   1468.00      0.00 2696980  281548   0.86  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:38 PM  1000   1441388   14.00    2.00    0.00    0.00   16.00    14   1395.00      0.00 2697020  282100   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:39 PM  1000   1441388   13.00    2.00    0.00    0.00   15.00    14   1338.00      0.00 2697060  282288   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:40 PM  1000   1441388   12.00    2.00    0.00    0.00   14.00    14   1352.00      0.00 2697104  282668   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:41 PM  1000   1441388   14.00    3.00    0.00    0.00   17.00     0   1349.00      0.00 2697152  283096   0.87  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
06:12:42 PM  1000   1441388   12.00    2.00    0.00    0.00   14.00     0   1420.00      0.00 2697196  283376   0.87  fastlio_mapping

