Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:55 AM  1000    856637   18.00    1.00    0.00    0.00   19.00     2   1193.00      0.00 2630192  377252   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:56 AM  1000    856637   17.00    2.00    0.00    0.00   19.00     2     33.00      0.00 2630256  377444   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:57 AM  1000    856637   22.00    1.00    0.00    0.00   23.00     2    264.00      0.00 2630320  378404   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:58 AM  1000    856637   22.00    1.00    0.00    0.00   23.00     2    853.00      0.00 2630380  378844   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:42:59 AM  1000    856637   23.00    2.00    0.00    0.00   25.00     0    782.00      0.00 2630432  379040   1.16  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:00 AM  1000    856637   18.00    1.00    0.00    0.00   19.00     4   1005.00      0.00 2630484  380048   1.17  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:01 AM  1000    856637   21.00    2.00    0.00    0.00   23.00     4   1128.00      0.00 2630540  381440   1.17  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:02 AM  1000    856637   19.00    2.00    0.00    0.00   21.00    11   1051.00      0.00 2630596  382208   1.17  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:03 AM  1000    856637   23.00    1.00    0.00    0.00   24.00     2    771.00      0.00 2630668  385280   1.18  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:04 AM  1000    856637   17.00    1.00    0.00    0.00   18.00     4    340.00      0.00 2630692  386624   1.19  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:05 AM  1000    856637   18.00    2.00    0.00    0.00   20.00     6   2130.00      0.00 2630716  392052   1.20  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:06 AM  1000    856637   20.00    2.00    0.00    0.00   22.00     9   2088.00      0.00 2634084  393808   1.21  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:07 AM  1000    856637   21.00    1.00    0.00    0.00   22.00     9    534.00      0.00 2634144  395728   1.21  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:08 AM  1000    856637   22.00    1.00    0.00    0.00   23.00     9    942.00      0.00 2634208  395952   1.21  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:09 AM  1000    856637   22.00    1.00    0.00    0.00   23.00     9   1733.00      0.00 2634264  398924   1.22  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:10 AM  1000    856637   20.00    2.00    0.00    0.00   22.00     9   1347.00      0.00 2634320  401060   1.23  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:11 AM  1000    856637   17.00    1.00    0.00    0.00   18.00    10   1436.00      0.00 2634368  402980   1.24  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:12 AM  1000    856637   20.00    1.00    0.00    0.00   21.00     9   1267.00      0.00 2634420  404408   1.24  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:13 AM  1000    856637   17.00    1.00    0.00    0.00   18.00    12   1342.00      0.00 2634472  406156   1.25  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:14 AM  1000    856637   20.00    2.00    0.00    0.00   22.00     9   1476.00      0.00 2634524  408424   1.25  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:15 AM  1000    856637   17.00    1.00    0.00    0.00   18.00     9   1534.00      0.00 2634576  410496   1.26  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:16 AM  1000    856637   21.00    2.00    0.00    0.00   23.00     9   1292.00      0.00 2634628  411876   1.26  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:17 AM  1000    856637   20.00    1.00    0.00    0.00   21.00     9   1743.00      0.00 2635576  414968   1.27  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:18 AM  1000    856637   21.00    1.00    0.00    0.00   22.00     9    488.00      0.00 2635628  416888   1.28  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:19 AM  1000    856637   19.00    2.00    0.00    0.00   21.00    14   1333.00      0.00 2635680  418220   1.28  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:20 AM  1000    856637   16.00    1.00    0.00    0.00   17.00     9   1119.00      0.00 2635736  418524   1.28  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:21 AM  1000    856637   18.00    2.00    0.00    0.00   20.00     9   1208.00      0.00 2635800  419144   1.29  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:22 AM  1000    856637   17.00    1.00    0.00    0.00   18.00     9   1268.00      0.00 2635824  420192   1.29  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:23 AM  1000    856637   15.00    1.00    0.00    0.00   16.00     9   1285.00      0.00 2635852  421044   1.29  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:24 AM  1000    856637   16.00    1.00    0.00    0.00   17.00     9     54.00      0.00 2635876  421044   1.29  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:25 AM  1000    856637   14.00    1.00    0.00    0.00   15.00     9   1649.00      0.00 2635904  423452   1.30  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:26 AM  1000    856637   18.00    2.00    0.00    0.00   20.00    14   1119.00      0.00 2635964  423548   1.30  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:27 AM  1000    856637   17.00    1.00    0.00    0.00   18.00    14   1167.00      0.00 2636024  423980   1.30  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:28 AM  1000    856637   17.00    0.00    0.00    0.00   17.00    14   1140.00      0.00 2636072  424120   1.30  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:43:29 AM  1000    856637   18.00    2.00    0.00    0.00   20.00     2   1208.00      0.00 2636124  424516   1.30  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
