Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:49 PM  1000    220395   20.00    1.00    0.00    0.00   21.00     3    149.00      0.00 2626084  263564   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:50 PM  1000    220395   16.00    3.00    0.00    0.00   19.00     3    119.00      0.00 2626108  263948   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:51 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     4    234.00      0.00 2626132  264716   0.81  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:52 PM  1000    220395   16.00    1.00    0.00    0.00   17.00     4    803.00      0.00 2626160  265948   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:53 PM  1000    220395   18.00    3.00    0.00    0.00   21.00     6    825.00      0.00 2626184  267812   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:54 PM  1000    220395   19.00    1.00    0.00    0.00   20.00     0     78.00      0.00 2626212  268004   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:55 PM  1000    220395   18.00    3.00    0.00    0.00   21.00    14     33.00      0.00 2626240  268004   0.82  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:56 PM  1000    220395   15.00    2.00    0.00    0.00   17.00     0    329.00      0.00 2626272  269348   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:57 PM  1000    220395   16.00    3.00    0.00    0.00   19.00     0    756.00      0.00 2626300  269820   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:58 PM  1000    220395   16.00    3.00    0.00    0.00   19.00     2    284.00      0.00 2626328  270972   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:50:59 PM  1000    220395   16.00    2.00    0.00    0.00   18.00    12    728.00      0.00 2626356  271988   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:00 PM  1000    220395   15.00    2.00    0.00    0.00   17.00    12    560.00      0.00 2626380  272184   0.83  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:01 PM  1000    220395   14.00    2.00    0.00    0.00   16.00     2    694.00      0.00 2626404  272644   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:02 PM  1000    220395   20.00    2.00    0.00    0.00   22.00     6    834.00      0.00 2626472  273720   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:03 PM  1000    220395   21.00    3.00    0.00    0.00   24.00     6    670.00      0.00 2626540  274272   0.84  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:04 PM  1000    220395   20.00    2.00    0.00    0.00   22.00     8    972.00      0.00 2626604  275696   0.85  fastlio_mapping

